qcSheetName,tsName,type
agesPerKyr,agesPerKyr,numeric
archiveType,archiveType,character
calibration_method,calibration_method,character
calibration_seasonality,calibration_seasonality,character
basis,climateInterpretation1_basis,character
direction,climateInterpretation1_direction,character
dynamicalSystem,climateInterpretation1_dynamical,character
climateInferredMaterial,climateInterpretation1_inferredMaterial,character
annual?,climateInterpretation1_isAnnual,character
seasonality,climateInterpretation1_seasonality,character
seasonGeneral,climateInterpretation1_seasonalityGeneral,character
climateVariable,climateInterpretation1_variable,character
climateVariableDetail,climateInterpretation1_variableDetail,character
collectionName,collectionName,character
contributorName,contributorName,character
createdBy,createdBy,character
dataContributor,dataContributor,character
dataPub1_author,dataPub1_author,character
dataPub1_citeKey,dataPub1_citeKey,character
dataPub1_institution,dataPub1_institution,character
dataPub1_pubYear,dataPub1_pubYear,numeric
dataPub1_title,dataPub1_title,character
dataPub1_type,dataPub1_type,character
dataPub1_url,dataPub1_url,character
datasetId,datasetId,character
dataSetName,dataSetName,character
elevation,geo_elevation,numeric
countryOcean,geo_gcmdLocation,character
lat,geo_latitude,numeric
lon,geo_longitude,numeric
geo_notes,geo_notes,character
siteName,geo_siteName,character
subRegion,geo_subRegion,character
Has chronology data,hasChron,character
Has paleo depth data,hasDepth,character
inThisCompilation,inCompilationBeta_struct,inCompilation
isotopeInterpretation1_basis,isotopeInterpretation1_basis,character
isotopeInterpretation1_coefficient,isotopeInterpretation1_coefficient,numeric
isotopeInterpretation1_direction,isotopeInterpretation1_direction,character
isotopeInterpretation1_fraction,isotopeInterpretation1_fraction,numeric
isotopeInterpretation1_inferredMaterial,isotopeInterpretation1_inferredMaterial,character
isotopeInterpretation1_mathematicalRelation,isotopeInterpretation1_mathematicalRelation,character
isotopeInterpretation1_rank,isotopeInterpretation1_rank,numeric
isotopeInterpretation1_seasonality,isotopeInterpretation1_seasonality,character
isotopeInterpretation1_variable,isotopeInterpretation1_variable,character
isotopeInterpretation2_basis,isotopeInterpretation2_basis,character
isotopeInterpretation2_coefficient,isotopeInterpretation2_coefficient,numeric
isotopeInterpretation2_direction,isotopeInterpretation2_direction,character
isotopeInterpretation2_fraction,isotopeInterpretation2_fraction,numeric
isotopeInterpretation2_inferredMaterial,isotopeInterpretation2_inferredMaterial,character
isotopeInterpretation2_mathematicalRelation,isotopeInterpretation2_mathematicalRelation,character
isotopeInterpretation2_rank,isotopeInterpretation2_rank,numeric
isotopeInterpretation2_seasonality,isotopeInterpretation2_seasonality,character
isotopeInterpretation2_variable,isotopeInterpretation2_variable,character
isotopeInterpretation3_basis,isotopeInterpretation3_basis,character
isotopeInterpretation3_coefficient,isotopeInterpretation3_coefficient,numeric
isotopeInterpretation3_direction,isotopeInterpretation3_direction,character
isotopeInterpretation3_fraction,isotopeInterpretation3_fraction,numeric
isotopeInterpretation3_inferredMaterial,isotopeInterpretation3_inferredMaterial,character
isotopeInterpretation3_mathematicalRelation,isotopeInterpretation3_mathematicalRelation,character
isotopeInterpretation3_rank,isotopeInterpretation3_rank,numeric
isotopeInterpretation3_seasonality,isotopeInterpretation3_seasonality,character
isotopeInterpretation3_variable,isotopeInterpretation3_variable,character
link to lipdverse,lipdverseLink,character
maxYear,maxYear,numeric
minYear,minYear,numeric
neotomaDatasetId,neotomaDatasetId,character
neotomaSiteId,neotomaSiteId,character
originalDataUrl,originalDataUrl,character
otherAgesPerKyr,otherAgesPerKyr,character
chronologyIntegrationTime,paleoData_chronologyIntegrationTime,character
chronologyIntegrationTimeBasis,paleoData_chronologyIntegrationTimeBasis,character
