TSid,createdBy,dataSetName,New dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_year,pub1_authors,pub1_title,pub1_journal,pub1_pages,pub1_issue,pub1_volume,pub1_citeKey,pub1_doi,pub2_doi,originalDataUrl,neotomaDatasetId,archiveType,proxyGeneral,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,minYearOld,minYearDiff,maxYear,maxYearOld,maxYearDiff,Duration (yr),medianHoloceneResolution,agesPerKyr,otherAgesPerKyr,inCompilation,QC Certification,QC comments,link to lipdverse,Remaining issues
Rwjoz3Y1iEf,PalMod2LiPD,117_723A.Godad.2011,,117_723A,Indian Ocean>Arabian Sea,18.0518,57.609,-806,2011,"Godad, Shital P.; Naidu, Pothuri Divakar; Malmgren, Bjorn A.",Sea surface temperature changes during May and August in the western Arabian Sea over the last 22 kyr: Implications as to shifting of the upwelling season,Marine Micropaleontology,25   29,2-Jan,78,T3EIXLSV,10.1016/j.marmicro.2010.09.006,10.1016/S0031-0182(03)00629-1,"10.1594/PANGAEA.775098,10.1594/PANGAEA.695217",,MarineSediment,,,planktic foraminifera calcite,,,,planktic.d18O,permil,,,,,,-1.355416667,,950,,,19130,,,,490,1.266968326,0,,,,http://lipdverse.org/globalHolocene/0_54_1/117_723A.Godad.2011.html,
RL0SCEeYVWU,PalMod2LiPD,117_723A.Godad.2011,,117_723A,Indian Ocean>Arabian Sea,18.0518,57.609,-806,2011,"Godad, Shital P.; Naidu, Pothuri Divakar; Malmgren, Bjorn A.",Sea surface temperature changes during May and August in the western Arabian Sea over the last 22 kyr: Implications as to shifting of the upwelling season,Marine Micropaleontology,25   29,2-Jan,78,T3EIXLSV,10.1016/j.marmicro.2010.09.006,10.1016/S0031-0182(03)00629-1,"10.1594/PANGAEA.775098,10.1594/PANGAEA.695217",,MarineSediment,other microfossil,foraminifera,assemblage,,,Calculated based on 10.1029/2004PA001078,temperature,degC,abs,T,sea@surface,5,summerOnly,29.03269697,positive,500,,,22260,,,,325,1.217391304,0,Temp12k,PMS,there is also an August SST,http://lipdverse.org/globalHolocene/0_54_1/117_723A.Godad.2011.html,
RVwo44cKoew,PalMod2LiPD,117_723A.Godad.2011,,117_723A,Indian Ocean>Arabian Sea,18.0518,57.609,-806,2011,"Godad, Shital P.; Naidu, Pothuri Divakar; Malmgren, Bjorn A.",Sea surface temperature changes during May and August in the western Arabian Sea over the last 22 kyr: Implications as to shifting of the upwelling season,Marine Micropaleontology,25   29,2-Jan,78,T3EIXLSV,10.1016/j.marmicro.2010.09.006,10.1016/S0031-0182(03)00629-1,"10.1594/PANGAEA.775098,10.1594/PANGAEA.695217",,MarineSediment,,,planktic foraminifera assemblage,,,ANN,temperature,degC,,S,,,,24.11024242,,500,,,22260,,,,325,1.217391304,0,Tverse,,,http://lipdverse.org/globalHolocene/0_54_1/117_723A.Godad.2011.html,
R56JsH0b7h7,matlab,161_976.Martrat.2014,,161_976,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,36.2054,-4.3127,-1108,2014,"Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region,Quaternary Science Reviews,122   134,,99,R2YZVPE9,10.1016/j.quascirev.2014.06.016,10.1002/2014PA002710,"10.1594/PANGAEA.787827,10.1594/PANGAEA.847255,10.1594/PANGAEA.847256",,MarineSediment,alkenone,alkenone,UK37,calculated after Mueller et al. (1998),,,temperature,degC,abs,T,sea@surface,annual,annual,18.2359116,positive,185,,,149480,,,,53,0.5078290309,0,Temp12k,"PMS, OC","fails age control (one 4400 year gap), but otherwise solid age model- keep; missing origional UK37 data (no Bayesian recalibration)",http://lipdverse.org/globalHolocene/0_54_1/161_976.Martrat.2014.html,
RFPqL4xjYcE,matlab,161_976.Martrat.2014,,161_976,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,36.2054,-4.3127,-1108,2014,"Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region,Quaternary Science Reviews,122   134,,99,R2YZVPE9,10.1016/j.quascirev.2014.06.016,10.1002/2014PA002710,"10.1594/PANGAEA.787827,10.1594/PANGAEA.847255,10.1594/PANGAEA.847256",,MarineSediment,,,bulk sediment,,,,C37.concentration,g,,,,,,586.8674033,,185,,,149480,,,,53,0.5078290309,0,,,,http://lipdverse.org/globalHolocene/0_54_1/161_976.Martrat.2014.html,
RARmrjSNhwA,matlab,161_976.Martrat.2014,,161_976,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,36.2054,-4.3127,-1108,2014,"Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region,Quaternary Science Reviews,122   134,,99,R2YZVPE9,10.1016/j.quascirev.2014.06.016,10.1002/2014PA002710,"10.1594/PANGAEA.787827,10.1594/PANGAEA.847255,10.1594/PANGAEA.847256",,MarineSediment,,,,,,,label,,,,,,,,,150,,,146260,,,,80,0.5063291139,0,,,,http://lipdverse.org/globalHolocene/0_54_1/161_976.Martrat.2014.html,
RyCQUjotSaO,matlab,161_976.Martrat.2014,,161_976,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,36.2054,-4.3127,-1108,2014,"Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region,Quaternary Science Reviews,122   134,,99,R2YZVPE9,10.1016/j.quascirev.2014.06.016,10.1002/2014PA002710,"10.1594/PANGAEA.787827,10.1594/PANGAEA.847255,10.1594/PANGAEA.847256",,MarineSediment,,,planktic foraminifera calcite,,,,planktic.d18O,permil,,,,,,0.6373333333,,150,,,146260,,,,80,0.5063291139,0,,,,http://lipdverse.org/globalHolocene/0_54_1/161_976.Martrat.2014.html,
Rl3oDldpRFu,matlab,161_976.Martrat.2014,,161_976,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,36.2054,-4.3127,-1108,2014,"Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region,Quaternary Science Reviews,122   134,,99,R2YZVPE9,10.1016/j.quascirev.2014.06.016,10.1002/2014PA002710,"10.1594/PANGAEA.787827,10.1594/PANGAEA.847255,10.1594/PANGAEA.847256",,MarineSediment,,,planktic foraminifera calcite,,,"cleaning protocol followed Boyle (1983) and Boyle and Keigwin (1985), implementing modifications developed in Barker et al. (2003) and Pena et al. (2005)",planktic.MgCa,mmol_mol,,,,,,3.214607843,,150,,,146260,,,,80,0.5063291139,0,,,,http://lipdverse.org/globalHolocene/0_54_1/161_976.Martrat.2014.html,
RscxCqgnTot,matlab,161_976.Martrat.2014,,161_976,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,36.2054,-4.3127,-1108,2014,"Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region,Quaternary Science Reviews,122   134,,99,R2YZVPE9,10.1016/j.quascirev.2014.06.016,10.1002/2014PA002710,"10.1594/PANGAEA.787827,10.1594/PANGAEA.847255,10.1594/PANGAEA.847256",,MarineSediment,Mg/Ca,Mg/Ca,bulloides,calculated after Elderfield and Ganssen (2000) used reductive cleaning,,,temperature,degC,abs,T,sea@surface,annual,annual,17.37754902,positive,150,,,146260,,,,80,0.5063291139,0,Tverse,PMS,"fails age control (one 4400 year gap), but otherwise solid age model- keep",http://lipdverse.org/globalHolocene/0_54_1/161_976.Martrat.2014.html,
Rl3oDldpRFu_SST_from_planktic0x2EMgCa,matlab,161_976.Martrat.2014,,161_976,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,36.2054,-4.3127,-1108,2014,"Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region,Quaternary Science Reviews,122   134,,99,R2YZVPE9,10.1016/j.quascirev.2014.06.016,10.1002/2014PA002710,"10.1594/PANGAEA.787827,10.1594/PANGAEA.847255,10.1594/PANGAEA.847256",,MarineSediment,Mg/Ca,Mg/Ca,bulloides,"SST calculated from Mg/Ca (TSid=Rl3oDldpRFu) using the BAYMAG program baymag_predict.  Parameters: omega=3.1789, clean=1, species=bulloides, pstd=10, varargin=unspecified;  For salinity and pH, values are specified to change through time, and are calculated using the get_phsal program from Jess Tierney, based on modern values of salinity (36.5024) and pH (8.0873) for the archive location and using the ages",,,temperature,degC,abs,T,sea@surface,annual,annual,18.18096078,positive,150,,,146260,,,,80,0.5063291139,0,Temp12k,PMS,"fails age control (one 4400 year gap), but otherwise solid age model- keep",http://lipdverse.org/globalHolocene/0_54_1/161_976.Martrat.2014.html,
