DK's(keep),TSid,createdBy,dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_doi,pub2_doi,originalDataUrl,archiveType,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse,Remaining issues,last updated
85,M2Lgorjfg1lP,unknown,BogD.McAndrews.1966,Bog D,,-95.16,47.18,460,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,4.601934783,positive,-10,10888,256,0.3670398238,Temp12k,TRUE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BogD.McAndrews.1966.html,,before July 15
86,M2Lkkydhk6bP,unknown,BogD.McAndrews.1966,Bog D,,-95.16,47.18,460,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,-14.04378261,positive,-10,10888,256,0.3670398238,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BogD.McAndrews.1966.html,,before July 15
87,M2Lmwrynca4P,unknown,BogD.McAndrews.1966,Bog D,,-95.16,47.18,460,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,20.39628261,positive,-10,10888,256,0.3670398238,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BogD.McAndrews.1966.html,,before July 15
82,M2L1wm16bu0P,unknown,BlueMoundsCreek.Davis.1977,Blue Mounds Creek,,-89.87,43.08,335,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,21.7756129,positive,0,12104,281.5,0.3333333333,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BlueMoundsCreek.Davis.1977.html,,before July 15
83,M2L6j794b64P,unknown,BlueMoundsCreek.Davis.1977,Blue Mounds Creek,,-89.87,43.08,335,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,-10.98990323,positive,0,12104,281.5,0.3333333333,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BlueMoundsCreek.Davis.1977.html,,before July 15
84,M2Liv8xnftiP,unknown,BlueMoundsCreek.Davis.1977,Blue Mounds Creek,,-89.87,43.08,335,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,6.619096774,positive,0,12104,281.5,0.3333333333,Temp12k,TRUE,JM,,http://lipdverse.org/globalHolocene/0_27_0/BlueMoundsCreek.Davis.1977.html,,before July 15
1121,WEB7f2f016d,lipd.net,WAISBubble.Fegyveresi.2016,WAIS Divide,,-79.4676,-112.08,1806,10.1002/2015PA002851,,,GlacierIce,bubble density,glacier ice,,,Modeled Equivalent Temperatures (C),temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-29.73983636,positive,265,5324.5,91,0,Temp12k,TRUE,RSV,,http://lipdverse.org/globalHolocene/0_27_0/WAISBubble.Fegyveresi.2016.html,,before July 15
1122,WEBf4040255,lipd.net,WAISDivide.Cuffey.2016,WAIS Divide,,-79.4676,-112.08,1806,10.1073/pnas.1609132113,,,GlacierIce,hybrid,glacier ice,,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-29.94630964,positive,-56,67770.5,1.73,0,Temp12k,TRUE,RSV,,http://lipdverse.org/globalHolocene/0_27_0/WAISDivide.Cuffey.2016.html,,before July 15
1113,GHe913d7ac,matlab,Vostok_Antarctica,"Vostok,Antarctica",,-78.5,108,,10.1038/20859,,,GlacierIce,dD,glacier ice,,,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-0.3749450549,positive,0,11642,46,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Vostok_Antarctica.html,,before July 15
1066,GHf2f9415c,matlab,TaylorDome_dD,TaylorDome,,-77.8,158.7,,10.1111/j.0435-3676.2000.00122.x,,,GlacierIce,dD,glacier ice,,,,dD,permil,,T,air@surface,,,24698.50925,negative,-7.5,11832,25.5,0,Temp12k-reconsider,FALSE,DSK,"""9999"" in dD values",http://lipdverse.org/globalHolocene/0_27_0/TaylorDome_dD.html,,before July 15
237,GHb1defdc8,matlab,DomeF.Kawamura.2007,DomeF,,-77.3,39.7,,10.1038/nature06015,,,GlacierIce,d18O,glacier ice,,,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,0.06086956522,positive,700,12200,500,0,Temp12k-reconsider,TRUE,DSK,fails resolution,http://lipdverse.org/globalHolocene/0_27_0/DomeF.Kawamura.2007.html,,before July 15
236,GH1c49f7ab,matlab,DomeC.Stenni.2001,EPICADomeC,,-75.1,123.4,3240,10.1126/science.1059702,,,GlacierIce,dD,glacier ice,,,,dD,permil,,T,air@surface,,,-396.1852853,positive,42.5,44821.74,18.63,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/DomeC.Stenni.2001.html,,before July 15
255,GH70e31571,matlab,EDML.Stenni.2009,EDML,,-75,0.1,,10.1016/j.quascirev.2009.10.009,,,GlacierIce,dD,glacier ice,,,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-0.6017058824,positive,100,12900,100,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/EDML.Stenni.2009.html,,before July 15
582,M2L5adu400zP,unknown,LakeEC2.Gajewski.1991,Lake EC2,,-74.95,56.02,300,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-5.427710526,positive,59,6359,134,0.6349206349,Temp12k,TRUE,JM,,http://lipdverse.org/globalHolocene/0_27_0/LakeEC2.Gajewski.1991.html,,before July 15
583,M2Lpiyhg2dyP,unknown,LakeEC2.Gajewski.1991,Lake EC2,,-74.95,56.02,300,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,11.3095,positive,59,6359,134,0.6349206349,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/LakeEC2.Gajewski.1991.html,,before July 15
584,M2Lsekb4bsqP,unknown,LakeEC2.Gajewski.1991,Lake EC2,,-74.95,56.02,300,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,-23.99097368,positive,59,6359,134,0.6349206349,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/LakeEC2.Gajewski.1991.html,,before July 15
513,WEB3b80ddb0,lipd.net,Komosomolskaia.Ciais.1992,Komsomolskaia,,-74.083,97.4833,3499,10.1007/BF00193529,10.3189/172756494794587609,,GlacierIce,dD,glacier ice,,,,temperature,degC,,T,,,,-0.04001783265,,0,14934.1,17.085,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/Komosomolskaia.Ciais.1992.html,,before July 15
161,M2L511e6mjbP,unknown,Coghill.King.1986,Coghill,,-66.77,53.9,530,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-4.119666667,positive,-31,6146,282.5,0.4856726566,Temp12k,TRUE,JM,,http://lipdverse.org/globalHolocene/0_27_0/Coghill.King.1986.html,,before July 15
162,M2Ls8oc7swkP,unknown,Coghill.King.1986,Coghill,,-66.77,53.9,530,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,-20.69933333,positive,-31,6146,282.5,0.4856726566,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/Coghill.King.1986.html,,before July 15
163,M2Lz8zzjys7P,unknown,Coghill.King.1986,Coghill,,-66.77,53.9,530,,10.1038/nature25464,,LakeSediment,pollen,assemblage,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,11.84771429,positive,-31,6146,282.5,0.4856726566,Temp12k,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/Coghill.King.1986.html,,before July 15
623,LPD7abab671,matlab,LawDome.Dahl-Jensen.1999,Law Dome DSS,,-66.7697,112.8069,,10.3189/172756499781821102,,,Borehole,borehole,glacier ice,,,,temperature,degC,abs,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,-21.37588235,positive,-45,7452,94,0,Temp12k,TRUE,AO,,http://lipdverse.org/globalHolocene/0_27_0/LawDome.Dahl-Jensen.1999.html,,before July 15
732,GH0a861633,matlab,MD032601.Crosta.2007,DUrvilleTrough,,-66,138.6,,10.1029/2007GC001718,,,MarineSediment,diatom,assemblage,,,"Fragilari opsisker guelensis, relative abundance of diatom assemblages",F_kerg__,percent,,T,sea@surface,Summer,summerOnly,13.08579545,positive,1000,10843,20,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/MD032601.Crosta.2007.html,,before July 15
465,WEB3c95e135,lipd.net,JamesRossIsland.Mulvaney.2012,James Ross Island,,-64.2017,-57.685,1542,10.1038/nature11391,,https://www.ncdc.noaa.gov/paleo/study/13954,GlacierIce,dD,glacier ice,,,,temperature,degC,,T,air@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,0.2635371901,positive,-50,14250,100,0,Temp12k,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/JamesRossIsland.Mulvaney.2012.html,,before July 15
